row_names	input	filtered	denoisedF	denoisedR	merged	nosingletons	nochimeras	percent_singletons	percent_chimeras	percent_retained_of_total
ED1_20_01	47422	33273	33111	33205	32293	32186	29754	0.331341157526396	7.55608028335301	62.7430306608747
ED17_01_01	37302	25674	25624	25611	20315	20261	20029	0.265813438346058	1.14505700607077	53.6941718942684
ED18_01_04	31959	25210	25179	25158	24081	24076	23366	0.0207632573398087	2.94899484964279	73.1124252949091
ED18_09_01	36114	25009	24922	24926	18549	18342	11264	1.11596312469675	38.5890306400611	31.1901201750014
ED18_28_01	49398	26201	26101	26124	19329	19131	16022	1.02436753065342	16.2511107626366	32.434511518685
ED19_10_05	33929	24908	24826	24682	23436	23407	21171	0.123741252773513	9.55269791088136	62.3979486574906
ED19_10_06	51531	39745	39666	39473	38028	37959	34758	0.181445250867782	8.43278273927132	67.4506607673051
ED19_10_07	34650	26187	26165	26059	25469	25452	24856	0.0667478110644311	2.34166273770235	71.7344877344877
ED19_10_13	31073	23335	23288	23203	22835	22835	21259	0	6.90168600832057	68.4163099797252
ED19_10_14	23858	18220	18143	18189	17894	17890	16047	0.0223538616295968	10.3018446059251	67.2604577081063
ED19_10_15	34338	26320	26263	26240	24758	24746	23177	0.0484691816786409	6.34041865351976	67.4966509406488
ED19_11_01	33703	25802	25778	25610	24798	24776	24269	0.0887168320025751	2.04633516306103	72.0084265495653
ED19_11_02	42819	33562	33526	33512	32312	32312	31364	0	2.9338945283486	73.2478572596277
ED19_27B_02	39566	28668	28598	28597	27713	27684	21394	0.104644029877676	22.720705100419	54.0716777030784
ED20_09_01	58155	44976	44862	44914	43137	43074	40949	0.146046317546421	4.93337047871105	70.4135499957011
ED20_09_02	40042	28246	28156	28202	26836	26835	23497	0.00372633775525344	12.4389789454071	58.6808850706758
ED20_10_05	28690	21888	21871	21869	21450	21450	19691	0	8.20046620046621	68.6336702683862
ED20_10_06	33698	25538	25491	25431	24699	24699	24263	0	1.76525365399409	72.0013057154727
ED20_10_07	42865	31856	31824	31800	30655	30655	29271	0	4.51476105039961	68.2864808118512
ED20_10_08	37625	25300	25262	25036	24703	24699	23273	0.0161923652997586	5.77351309769625	61.8551495016611
ED20_10_09	24996	19387	19357	19078	18831	18831	18269	0	2.98444055015665	73.087694031045
ED20_10_11	37298	28211	28173	28101	27225	27215	25182	0.0367309458218443	7.47014514054749	67.5156844871039
ED20_10_16	32248	24871	24842	24818	24513	24507	22939	0.0244768082242075	6.39817195087117	71.1330935251799
ED20_10_17	29855	17819	17787	17698	17477	17477	17142	0	1.91680494364022	57.4175180036845
ED20_10_18	32123	20283	20268	20261	20025	20025	18920	0	5.51810237203496	58.8986084736793
ED20_10_19	29431	22810	22769	22691	21890	21890	20883	0	4.60027409776154	70.9557949101288
ED20_11_04	35619	28038	28006	28014	26954	26952	25741	0.00742004897233528	4.4931730483823	72.2676099834358
ED20_11_05	29686	22525	22501	22499	21705	21705	21034	0	3.09145358212393	70.8549484605538
ED20_13_02	60699	35786	35740	35742	35106	35098	34368	0.0227881273856383	2.07989059205653	56.6203726585282
ED20_15A_01	57034	36536	36495	36167	35540	35540	34215	0	3.7281935846933	59.9905319633903
ED20_29_01	39497	30979	30941	30944	29953	29940	28526	0.0434013287483737	4.72277889111557	72.2232068258349
ED20_33_04	33660	24796	24756	24758	23734	23678	21062	0.235948428414929	11.048230424867	62.5727866904337
