reads.in	reads.out	percentage_retained
ED1_20_01_S128_R1_001.fastq.gz	47422	33273	70.1636371304458
ED1_32_01_S72_R1_001.fastq.gz	2048	5	0.244140625
ED17_01_01_S184_R1_001.fastq.gz	37302	25674	68.8274087180312
ED18_01_04_S291_R1_001.fastq.gz	31959	25210	78.8823179698989
ED18_09_01_S373_R1_001.fastq.gz	36114	25009	69.2501522955087
ED18_28_01_S248_R1_001.fastq.gz	49398	26201	53.0406089315357
ED19_10_05_S283_R1_001.fastq.gz	33929	24908	73.4121253205223
ED19_10_06_S244_R1_001.fastq.gz	51531	39745	77.1283305194931
ED19_10_07_S281_R1_001.fastq.gz	34650	26187	75.5757575757576
ED19_10_13_S5_R1_001.fastq.gz	31073	23335	75.0973513983201
ED19_10_14_S60_R1_001.fastq.gz	23858	18220	76.3685137060944
ED19_10_15_S267_R1_001.fastq.gz	34338	26320	76.6497757586347
ED19_11_01_S2_R1_001.fastq.gz	33703	25802	76.556983057888
ED19_11_02_S135_R1_001.fastq.gz	42819	33562	78.3810925056634
ED19_27B_02_S250_R1_001.fastq.gz	39566	28668	72.4561492190264
ED20_09_01_S131_R1_001.fastq.gz	58155	44976	77.338148052618
ED20_09_02_S109_R1_001.fastq.gz	40042	28246	70.5409320213776
ED20_10_05_S182_R1_001.fastq.gz	28690	21888	76.2913907284768
ED20_10_06_S183_R1_001.fastq.gz	33698	25538	75.7849130512197
ED20_10_07_S179_R1_001.fastq.gz	42865	31856	74.3170418756561
ED20_10_08_S200_R1_001.fastq.gz	37625	25300	67.2425249169435
ED20_10_09_S273_R1_001.fastq.gz	24996	19387	77.5604096655465
ED20_10_11_S191_R1_001.fastq.gz	37298	28211	75.6367633653279
ED20_10_12_S186_R1_001.fastq.gz	17	2	11.7647058823529
ED20_10_16_S73_R1_001.fastq.gz	32248	24871	77.1241627387745
ED20_10_17_S56_R1_001.fastq.gz	29855	17819	59.6851448668565
ED20_10_18_S48_R1_001.fastq.gz	32123	20283	63.1416741898328
ED20_10_19_S29_R1_001.fastq.gz	29431	22810	77.503312833407
ED20_11_04_S35_R1_001.fastq.gz	35619	28038	78.7164153962773
ED20_11_05_S10_R1_001.fastq.gz	29686	22525	75.8775180219632
ED20_13_02_S16_R1_001.fastq.gz	60699	35786	58.9564902222442
ED20_15A_01_S272_R1_001.fastq.gz	57034	36536	64.0600343654662
ED20_29_01_S199_R1_001.fastq.gz	39497	30979	78.4338050991215
ED20_33_04_S93_R1_001.fastq.gz	33660	24796	73.6660724896019
ED20_33_05_S222_R1_001.fastq.gz	26123	19506	74.6698311832485
ED22_15A_01_S274_R1_001.fastq.gz	40766	29258	71.7705931413433
ED25_32_01_S305_R1_001.fastq.gz	47787	35504	74.2963567497437
