reads.in	reads.out	percentage_retained
SD8_24_05_S328_R1_001.fastq.gz	43566	27297	62.6566588624156
SD8_26_02_S284_R1_001.fastq.gz	38670	27652	71.5076286527024
SD8_29_04_S286_R1_001.fastq.gz	44814	28755	64.1652162270719
SD8_29_09_S102_R1_001.fastq.gz	53586	33384	62.2998544395924
SD8_36_16_S287_R1_001.fastq.gz	44408	29627	66.7154566744731
SD8_39_03_S52_R1_001.fastq.gz	51939	31293	60.2495234794663
SD8_40_04_S313_R1_001.fastq.gz	43379	22517	51.9076050623574
SD8_40_06_S288_R1_001.fastq.gz	41454	11280	27.2108843537415
SD8_40_09_S209_R1_001.fastq.gz	48976	23264	47.5008167265599
SD9_09_05_S206_R1_001.fastq.gz	43931	17050	38.8108624889031
SD9_09_06_S359_R1_001.fastq.gz	48407	22325	46.1193629020596
SD9_28_02_S360_R1_001.fastq.gz	46544	32464	69.7490546579581
SD9_39_03_S358_R1_001.fastq.gz	46109	11981	25.9840811988983
W10_05_02_S136_R1_001.fastq.gz	51258	27991	54.6080611806937
W10_18_02_S83_R1_001.fastq.gz	42435	27126	63.9236479321315
W10_18_03_S336_R1_001.fastq.gz	53304	37039	69.4863424883686
W10_23A_01_S81_R1_001.fastq.gz	37695	20624	54.7128266348322
W10_31_01_S95_R1_001.fastq.gz	39480	22290	56.4589665653495
W13_18_01_S283_R1_001.fastq.gz	48318	28841	59.6899706113664
W13_18_03_S245_R1_001.fastq.gz	49101	13452	27.3965907008004
W13_36_01_S382_R1_001.fastq.gz	48057	29178	60.7154004619514
W14_12_01_S17_R1_001.fastq.gz	38838	23657	60.9119934085174
W14_20_02_S247_R1_001.fastq.gz	45775	27391	59.8383397050792
W14_29_03_S377_R1_001.fastq.gz	52224	30561	58.5190716911765
W14_30_01_S384_R1_001.fastq.gz	41111	24459	59.4950256622315
W14_30_02_S380_R1_001.fastq.gz	41276	24027	58.2105824207772
W14_32_01_S364_R1_001.fastq.gz	40277	23705	58.8549296124339
W14_32_02_S269_R1_001.fastq.gz	47226	27607	58.4572057764791
W15_28_01_S28_R1_001.fastq.gz	42726	25827	60.4479707906193
W18_08_02_S20_R1_001.fastq.gz	46456	31229	67.2227484070949
W18_08_04_S5_R1_001.fastq.gz	38836	25209	64.9114223915954
W18_17_01_S256_R1_001.fastq.gz	47728	21210	44.4393228293664
W18_29_04_S32_R1_001.fastq.gz	52025	25965	49.9086977414704
W18_29_05_S24_R1_001.fastq.gz	3610	28	0.775623268698061
W19_10_03_S224_R1_001.fastq.gz	44124	18192	41.22926298613
W19_13_02_S9_R1_001.fastq.gz	43693	27871	63.7882498340695
W19_17_02_S7_R1_001.fastq.gz	61992	40200	64.847077042199
W19_22A_02_S166_R1_001.fastq.gz	79062	44224	55.9358478156384
W19_24_01_S107_R1_001.fastq.gz	48561	20390	41.9884269269578
W19_33_02_S335_R1_001.fastq.gz	52572	35273	67.0946511450963
W20_09_06_S329_R1_001.fastq.gz	49692	32292	64.9843033083796
W20_14_01_S279_R1_001.fastq.gz	51669	33326	64.4990226247847
W20_18_04_S54_R1_001.fastq.gz	49320	30053	60.9347120843471
W20_18_07_S21_R1_001.fastq.gz	42693	27512	64.4414775255897
W21_01_07_S315_R1_001.fastq.gz	38117	26715	70.0868378938531
W21_05_06_S300_R1_001.fastq.gz	6654	4326	65.0135256988278
W21_13_02_S57_R1_001.fastq.gz	40081	26141	65.2204286320202
W21_18_08_S177_R1_001.fastq.gz	76111	48364	63.5440343708531
W22_05_10_S332_R1_001.fastq.gz	39499	21641	54.7887288285779
W22_05_12_S45_R1_001.fastq.gz	46606	31219	66.9849375616873
W22_09_01_S263_R1_001.fastq.gz	43477	27365	62.9413252984337
W22_15_02_S16_R1_001.fastq.gz	30419	7621	25.0534205595187
W22_17_01_S251_R1_001.fastq.gz	45512	26768	58.8152575145017
W22_33_01_S50_R1_001.fastq.gz	56592	34063	60.1904862878145
W23_01_01_S18_R1_001.fastq.gz	42109	29093	69.0897432852834
W23_12_01_S337_R1_001.fastq.gz	47560	26628	55.9882253994954
W23_18_02_S58_R1_001.fastq.gz	41741	23713	56.8098512254139
