row_names	input	filtered	denoisedF	denoisedR	merged	nosingletons	nochimeras	percent_singletons	percent_chimeras	percent_retained_of_total
ED17_28_01	50008	21139	21039	20947	11103	11048	9814	0.495361613978204	11.1694424330196	19.6248600223964
ED19_10_08	60668	39359	39337	39312	38552	38499	37386	0.137476654907658	2.8909841814073	61.6239203533988
ED19_11_03	52296	33189	33160	33165	32544	32539	32503	0.0153638151425781	0.110636467008817	62.151981031054
ED19_33_01	49016	30643	30630	30629	30281	30281	30251	0	0.0990720253624318	61.7165823404603
ED2_16_01	56474	32288	32172	32191	29913	29283	18415	2.10610771236585	37.1136837072704	32.6079257711513
ED20_10_15	46967	25267	25263	25224	23530	23515	22891	0.0637484062898466	2.65362534552413	48.7384759511998
ED20_33_06	60511	37817	37799	37697	37189	37189	36981	0	0.55930517088386	61.1145081059642
ED20_33_07	47899	28668	28622	28602	28047	27950	26019	0.345848040788681	6.9087656529517	54.3205494895509
ED20_33_08	48271	28834	28776	28769	28481	28481	28322	0	0.558266914785293	58.6729092001409
ED20_35_01	71309	45792	45756	45758	45328	45324	45010	0.00882456759619288	0.692789691995415	63.1196623147148
ED21_05_02	28387	14730	14689	14692	14372	14367	13210	0.0347898691900923	8.05317742047748	46.5353859160884
ED21_07_01	40601	23071	23062	23066	22997	22997	22992	0	0.0217419663434413	56.6291470653432
ED21_09_01	29426	19529	19499	19509	19199	19199	19171	0	0.145840929215069	65.1498674641473
ED21_28A_01	41327	26544	26496	26490	26060	26054	25803	0.0230237912509637	0.963383741460049	62.4361797372178
ED22_12_02	43657	29951	29769	29825	26596	26544	25504	0.195518123026019	3.91802290536468	58.4190393293172
ED5_10_06	49545	28663	28629	28630	27977	27962	25416	0.0536154698502287	9.10521421929762	51.2988192552225
ED6_01_01	65409	39844	39605	39565	36721	36540	30203	0.492905966613108	17.3426382047072	46.1756027457995
ED6_02_02	44335	26674	26587	26480	24569	24329	19798	0.976840734258616	18.6238645238193	44.6554640802977
