,site,round,sample_pt,sample_id,year,barcode_id,active_flower,pre_id,final_id,notes,plate,well,well_letter,well_number,microcentrifuge,pollen,tube_m,tube_pollen_m,pollen_m,mass_factor,pesticide,lauren_pollen,natalia_pollen,gut_plate,rerun_plate
78,NR,7,NR14A,7_NR14A,2022,NR7_14A_02,TRHY,B. impatiens,B. impatiens,,impatiens_DNA_08,G5,G,5,y,y,NA,NA,0,NA,,y,,bcparasite04_A12,
79,NR,7,NR27,7_NR27,2022,NR7_27_03,HYRA,B. impatiens,B. impatiens,,impatiens_DNA_04,F4,F,4,y,y,NA,NA,0,NA,,,,,
80,NR,7,NR29,7_NR29,2022,NR7_29_06,RUAR,B. impatiens,B. impatiens,,impatiens_DNA_04,B4,B,4,y,y,NA,NA,0,NA,,,,bcparasite_extra_C2,
81,NR,7,NR08A,7_NR08A,2022,NR7_08A_01,VICR,B. impatiens,B. impatiens,,impatiens_DNA_04,B6,B,6,y,y,NA,NA,0,NA,,,,,
82,PM,7,PM71,7_PM71,2022,PM7_71_01,IMGL,B. impatiens,B. impatiens,,impatiens_DNA_06,C3,C,3,Y,Y,NA,NA,0,NA,,,,,
83,PM,7,PM62,7_PM62,2022,PM7_62_01,IMGL,B. impatiens,B. impatiens,,impatiens_DNA_04,H8,H,8,y,y,NA,NA,0,NA,,,,,
84,PM,7,PM71,7_PM71,2022,PM7_71_03,IMGL,B. impatiens,B. impatiens,,impatiens_DNA_06,B12,B,12,y,y,NA,NA,0,NA,,,,,
85,PM,7,PM46,7_PM46,2022,PM7_46_02,CASI,B. impatiens,B. impatiens,,impatiens_DNA_05,A5,A,5,y,y,NA,NA,0,NA,,,,,
86,PM,7,PM55,7_PM55,2022,PM7_55_01,SPDO,B. impatiens,B. impatiens,,impatiens_DNA_05,B10,B,10,y,y,NA,NA,0,NA,,,,,
87,PM,7,PM63,7_PM63,2022,PM7_63_02,IMGL,B. impatiens,B. impatiens,,impatiens_DNA_05,B3,B,3,y,y,NA,NA,0,NA,,,,,
88,PM,7,PM61,7_PM61,2022,PM7_61_02,CASI,B. impatiens,B. impatiens,,impatiens_DNA_05,C10,C,10,y,y,NA,NA,0,NA,,,,,
89,PM,7,PM71,7_PM71,2022,PM7_71_02,IMGL,B. impatiens,B. impatiens,,impatiens_DNA_07,D10,D,10,y,y,NA,NA,0,NA,,,,bcparasite01_D11,
90,PM,7,PM48,7_PM48,2022,PM7_48_02,CASI,B. impatiens,B. impatiens,,impatiens_DNA_05,B8,B,8,y,y,NA,NA,0,NA,,,,,
91,SD,7,SD39,7_SD39,2022,SD7_39_15,PHTA,B. impatiens,B. impatiens,,impatiens_DNA_02,G12,G,12,y,y,NA,NA,0,NA,,,,,
92,SD,7,SD28,7_SD28,2022,SD7_28_02,TRHY,B. impatiens,B. impatiens,,impatiens_DNA_02,G4,G,4,y,y,NA,NA,0,NA,,,,,
93,SD,7,SD03,7_SD03,2022,SD7_03_02,VICR,B. impatiens,B. impatiens,,impatiens_DNA_09,C7,C,7,y,y,NA,NA,0,NA,,,,bcparasite06_D1,
94,SD,7,SD33A,7_SD33A,2022,SD7_33A_01,TRME,B. impatiens,B. impatiens,,impatiens_DNA_02,E1,E,1,y,y,NA,NA,0,NA,,,,,
95,SD,7,SD37,7_SD37,2022,SD7_37_08,LOCO,B. impatiens,B. impatiens,,impatiens_DNA_09,C10,C,10,y,y,NA,NA,0,NA,,y,,bcparasite06_C3,
96,SD,7,SD39,7_SD39,2022,SD7_39_06,PHTA,B. impatiens,B. impatiens,,impatiens_DNA_02,G7,G,7,y,y,NA,NA,0,NA,,,,,
