,site,round,sample_pt,sample_id,year,barcode_id,active_flower,pre_id,final_id,notes,plate,well,well_letter,well_number,microcentrifuge,pollen,tube_m,tube_pollen_m,pollen_m,mass_factor,pesticide,lauren_pollen,natalia_pollen,gut_plate,rerun_plate
131,NR,8,NR06A,8_NR06A,2022,NR8_06A_01,COSE,B. impatiens,B. impatiens,,impatiens_DNA_09,F7,F,7,y,y,NA,NA,0,NA,,,,bcparasite03_A4,
132,NR,8,NR10,8_NR10,2022,NR8_10_01,LIVU,B. impatiens,B. impatiens,,impatiens_DNA_01,B10,B,10,y,y,NA,NA,0,NA,,,,,
133,PM,8,PM64,8_PM64,2022,PM8_64_02,SPDO,B. impatiens,B. impatiens,,impatiens_DNA_04,H11,H,11,y,y,NA,NA,0,NA,,,,,
134,PM,8,PM43,8_PM43,2022,PM8_43_01,SPDO,B. impatiens,B. impatiens,,impatiens_DNA_05,A2,A,2,y,y,NA,NA,0,NA,,,,,
135,PM,8,PM53A,8_PM53A,2022,PM8_53_02,SPDO,B. impatiens,B. impatiens,,impatiens_DNA_05,B4,B,4,y,y,NA,NA,0,NA,,,,,
136,PM,8,PM52B,8_PM52B,2022,PM8_52A_01,TRRE,B. impatiens,B. impatiens,,impatiens_DNA_05,D2,D,2,y,y,NA,NA,0,NA,,,,,
137,PM,8,PM72A,8_PM72A,2022,PM8_72A_01,TRRE,B. impatiens,B. impatiens,,impatiens_DNA_04,H5,H,5,y,y,NA,NA,0,NA,,,,,
138,PM,8,PM51A,8_PM51A,2022,PM8_51A_01,SPDO,B. impatiens,B. impatiens,,impatiens_DNA_06,C1,C,1,y,y,NA,NA,0,NA,,,,,
139,PM,8,PM59,8_PM59,2022,PM8_59_01,LOCO,B. impatiens,B. impatiens,,impatiens_DNA_06,A10,A,10,y,y,NA,NA,0,NA,,,,,
140,PM,8,PM53A,8_PM53A,2022,PM8_53_01,TRRE,B. impatiens,B. impatiens,,impatiens_DNA_05,D11,D,11,y,y,NA,NA,0,NA,,,,,
141,PM,8,PM40,8_PM40,2022,PM8_40_01,TRME,B. impatiens,B. impatiens,,impatiens_DNA_02,A2,A,2,y,y,NA,NA,0,NA,,y,,bcparasite01_A1,
142,SD,8,SD40,8_SD40,2022,SD8_40_04,COAR,B. impatiens,B. impatiens,,impatiens_DNA_13,E6,E,6,y,y,NA,NA,0,NA,,,,,
143,SD,8,SD26,8_SD26,2022,SD8_26_02,TRHY,B. impatiens,B. impatiens,,impatiens_DNA_09,D6,D,6,y,y,NA,NA,0,NA,,,,bcparasite06_G5,
144,SD,8,SD36,8_SD36,2022,SD8_36_16,N/A (leaf),B. impatiens,B. impatiens,,impatiens_DNA_02,F6,F,6,y,y,NA,NA,0,NA,,,,,
145,SD,8,SD29,8_SD29,2022,SD8_29_04,SOAR,B. impatiens,B. impatiens,,impatiens_DNA_03,C5,C,5,y,y,NA,NA,0,NA,,,,,
146,SD,8,SD36,8_SD36,2022,SD8_36_08,VICR,B. impatiens,B. impatiens,,impatiens_DNA_02,D6,D,6,y,y,NA,NA,0,NA,,,,,
147,SD,8,SD40,8_SD40,2022,SD8_40_06,CASI,B. impatiens,B. impatiens,,impatiens_DNA_02,F8,F,8,y,y,NA,NA,0,NA,,,,,
148,SD,8,SD24,8_SD24,2022,SD8_24_05,LASY,B. impatiens,B. impatiens,,impatiens_DNA_07,C6,C,6,y,y,NA,NA,0,NA,,,,bcparasite01_F7,
149,SD,8,SD24,8_SD24,2022,SD8_24_04,LASY,B. impatiens,B. impatiens,,impatiens_DNA_07,G4,G,4,y,y,NA,NA,0,NA,,y,,bcparasite02_H7,
150,SD,8,SD40,8_SD40,2022,SD8_40_09,CIVU,B. impatiens,B. impatiens,,impatiens_DNA_09,H3,H,3,y,y,NA,NA,0,NA,,y,,bcparasite07_C10,
151,W,8,W08,8_W08,2022,W8_08_01,RUAR,B. impatiens,B. impatiens,,impatiens_DNA_01,E5,E,5,n,y,NA,NA,0,NA,,,,,
152,W,8,W35,8_W35,2022,W8_35_02,CIVU,B. impatiens,B. impatiens,,impatiens_DNA_01,G2,G,2,y,y,NA,NA,0,NA,,,,,
153,W,8,W25,8_W25,2022,W8_25_04,TRRE,B. impatiens,B. impatiens,,impatiens_DNA_07,G1,G,1,y,y,NA,NA,0,NA,,,,bcparasite02_E7,
154,W,8,W01,8_W01,2022,W8_01_03,TRRE,B. impatiens,B. impatiens,,impatiens_DNA_08,E3,E,3,y,y,NA,NA,0,NA,,y,,bcparasite04_C3,
155,W,8,W16,8_W16,2022,W8_16_02,CIAR,B. impatiens,B. impatiens,,impatiens_DNA_07,D7,D,7,y,y,NA,NA,0,NA,,,,bcparasite01_C10,
156,W,8,W33,8_W33,2022,W8_33_01,CIVU,B. impatiens,B. impatiens,,impatiens_DNA_02,C3,C,3,y,y,NA,NA,0,NA,,,,,
157,W,8,W11,8_W11,2022,W8_11_01,RUAR,B. impatiens,B. impatiens,,impatiens_DNA_07,F1,F,1,y,y,NA,NA,0,NA,,y,,bcparasite07_F3,
158,W,8,W11,8_W11,2022,W8_11_02,RUAR,B. impatiens,B. impatiens,,impatiens_DNA_09,G9,G,9,y,y,NA,NA,0,NA,,y,,bcparasite07_E9,
159,W,8,W16,8_W16,2022,W8_16_01,CIAR,B. impatiens,B. impatiens,,impatiens_DNA_01,H10,H,10,y,y,NA,NA,0,NA,,,,,
,,,,,,W8_17_03,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,alternatives (queens),,,,,,,,,,,,,,,,,,,
,,,,,,HR17_34_01,,,,,,,,,,,,,,,,,,,
,,,,,,HR18_01_01,,,,,,,,,,,,,,,,,,,
,,,,,,NR17_01_01,,,,,,,,,,,,,,,,,,,
,,,,,,NR18_43_01,,,,,,,,,,,,,,,,,,,
