reads.in	reads.out	percentage_retained
ED17_28_02_S316_R1_001.fastq.gz	36392	26466	72.7247746757529
ED18_01_01_S322_R1_001.fastq.gz	46234	35078	75.8705714409309
ED18_01_03_S320_R1_001.fastq.gz	40644	82	0.201751796083063
ED18_10_01_S215_R1_001.fastq.gz	37753	23538	62.3473631234604
ED18_13_01_S212_R1_001.fastq.gz	43312	32547	75.1454562246029
ED18_13_03_S222_R1_001.fastq.gz	35889	26278	73.2202067485859
ED19_10_09_S352_R1_001.fastq.gz	35916	27199	75.7294798975387
ED19_10_10_S314_R1_001.fastq.gz	34584	24683	71.3711542910016
ED19_10_11_S338_R1_001.fastq.gz	38380	19709	51.3522668056279
ED19_10_12_S327_R1_001.fastq.gz	46486	35126	75.5625349567612
ED19_19A_01_S283_R1_001.fastq.gz	41490	29912	72.0944805977344
ED19_27B_03_S333_R1_001.fastq.gz	35005	27545	78.6887587487502
ED19_35_01_S337_R1_001.fastq.gz	35948	28021	77.9487036830978
ED2_28_03_S211_R1_001.fastq.gz	45120	28992	64.2553191489362
ED20_10_10_S224_R1_001.fastq.gz	43344	31507	72.6905684754522
ED20_10_14_S229_R1_001.fastq.gz	39553	31281	79.0862892827346
ED20_16A_02_S214_R1_001.fastq.gz	36380	25099	68.9912039582188
ED21_06_01_S216_R1_001.fastq.gz	40816	25712	62.9949039592317
ED21_10_01_S28_R1_001.fastq.gz	43707	33636	76.9579243599423
ED21_15A_01_S35_R1_001.fastq.gz	47694	32957	69.1009351281083
ED21_15A_02_S39_R1_001.fastq.gz	41985	29164	69.4629034178873
ED21_15A_03_S36_R1_001.fastq.gz	45976	33516	72.8989037758831
ED21_33_01_S26_R1_001.fastq.gz	41029	32366	78.8856662360769
ED22_05_01_S14_R1_001.fastq.gz	42204	25385	60.1483271727798
ED22_25A_01_S99_R1_001.fastq.gz	45245	31481	69.5789590009946
ED22_35_01_S37_R1_001.fastq.gz	47238	32933	69.7171768491469
ED23_15A_01_S19_R1_001.fastq.gz	42329	28389	67.0674950979234
ED24_04_01_S22_R1_001.fastq.gz	37132	26445	71.2188947538511
ED24_05_01_S3_R1_001.fastq.gz	42429	32306	76.1413184378609
ED25_15A_02_S7_R1_001.fastq.gz	35475	25840	72.8400281888654
ED27_19B_06_S273_R1_001.fastq.gz	29102	9242	31.7572675417497
ED3_21A_01_S195_R1_001.fastq.gz	37413	28434	76.0003207441264
ED4_10_02_S234_R1_001.fastq.gz	31263	24428	78.1370949684931
ED4_10_04_S332_R1_001.fastq.gz	32915	23945	72.7479872398603
ED5_14_02_S274_R1_001.fastq.gz	32091	23797	74.1547474369761
ED5_25A_02_S261_R1_001.fastq.gz	37236	26002	69.8302717799979
ED6_06_03_S128_R1_001.fastq.gz	40597	32371	79.7374190211099
ED6_13_07_S109_R1_001.fastq.gz	39411	31288	79.3890030702088
ED6_13_12_S133_R1_001.fastq.gz	34914	28859	82.6573867216589
ED6_13_13_S205_R1_001.fastq.gz	35667	29271	82.067457313483
ED8_06_02_S225_R1_001.fastq.gz	38621	19181	49.6646901944538
ED8_15_01_S116_R1_001.fastq.gz	33753	26042	77.1546232927443
ED8_25A_02_S106_R1_001.fastq.gz	42072	28663	68.1284464727134
ED9_19A_01_S108_R1_001.fastq.gz	32612	25373	77.8026493315344
HR1_03_01_S267_R1_001.fastq.gz	41595	29895	71.8716191849982
HR1_16_04_S123_R1_001.fastq.gz	39299	26046	66.2764955851294
HR1_22_01_S141_R1_001.fastq.gz	33389	24891	74.5485039983228
HR17_09_01_S328_R1_001.fastq.gz	46617	30715	65.8879807795439
HR17_09_02_S335_R1_001.fastq.gz	37213	24772	66.5681347916051
HR17_24_01_S309_R1_001.fastq.gz	33485	24918	74.4154098850231
HR17_28_01_S143_R1_001.fastq.gz	36234	22197	61.2601424076834
HR17_32_02_S305_R1_001.fastq.gz	39077	34112	87.294316349771
HR17_32_03_S347_R1_001.fastq.gz	51987	44142	84.9096889607017
HR18_05A_02_S350_R1_001.fastq.gz	33996	22633	66.5754794681727
HR18_07_01_S336_R1_001.fastq.gz	39802	28206	70.8657856389126
HR18_09_01_S345_R1_001.fastq.gz	37304	25398	68.0838515976839
HR18_09_02_S318_R1_001.fastq.gz	35185	21894	62.2253801335797
HR18_11_14_S226_R1_001.fastq.gz	35323	22916	64.8755768196359
HR18_18_01_S315_R1_001.fastq.gz	36945	27838	75.3498443632427
HR18_18_02_S135_R1_001.fastq.gz	44141	35514	80.4558120568179
HR18_24_03_S326_R1_001.fastq.gz	43493	31810	73.1382061481158
HR18_27_01_S334_R1_001.fastq.gz	40873	30065	73.557115944511
HR18_27_02_S317_R1_001.fastq.gz	36923	26431	71.5841074668906
HR18_32_02_S331_R1_001.fastq.gz	36992	31317	84.6588451557093
HR18_32_20_S137_R1_001.fastq.gz	37517	31279	83.3728709651625
HR19_04_09_S76_R1_001.fastq.gz	40475	32069	79.2316244595429
HR19_04_12_S74_R1_001.fastq.gz	45599	36067	79.096032807737
HR19_05A_01_S97_R1_001.fastq.gz	38588	20669	53.5632839224629
HR19_07_01_S118_R1_001.fastq.gz	36525	23862	65.3305954825462
HR19_07_02_S80_R1_001.fastq.gz	42905	24204	56.4130054772171
HR19_07_03_S84_R1_001.fastq.gz	38451	18530	48.1912043900029
HR19_07_12_S127_R1_001.fastq.gz	50389	40037	79.4558336144794
HR19_07_13_S303_R1_001.fastq.gz	38792	31454	81.0837286038359
HR19_07_15_S295_R1_001.fastq.gz	36571	27326	74.7204068797681
HR19_08_01_S313_R1_001.fastq.gz	38951	28937	74.2907755898436
HR19_18_02_S373_R1_001.fastq.gz	49760	47201	94.8573151125402
HR19_22_01_S298_R1_001.fastq.gz	39029	30730	78.7363242716954
HR19_23_01_S307_R1_001.fastq.gz	33088	25614	77.411750483559
HR19_24_05_S364_R1_001.fastq.gz	36179	22147	61.2150695154648
HR19_24_06_S293_R1_001.fastq.gz	31891	21078	66.0938822865385
